feature,importance
RecipeCategoryEncoded,87372.01501190662
SodiumContent,30096.569521665573
ProteinContent,28319.595664978027
FatContent,26507.135526657104
SugarContent,26071.930037260056
CarbohydrateContent,24639.447456121445
FiberContent,22475.274831175804
SaturatedFatContent,22378.52599155903
NameLength,21778.09582531452
Calories,21536.449051856995
CholesterolContent,21365.298267364502
TotalTimeMinutes,18783.81119132042
CookTimeMinutes,14850.55192553997
PrepTimeMinutes,10291.603024721146
RecipeServings,8512.908662199974
aff_RecipeServings,6912.837365984917
aff_NameLength,6583.107493519783
aff_SugarContent,6335.8398052453995
aff_CookTimeMinutes,6108.818710923195
aff_PrepTimeMinutes,5963.906207323074
aff_ProteinContent,5894.62364089489
aff_FiberContent,5874.631594181061
aff_TotalTimeMinutes,5455.763168096542
aff_SodiumContent,5438.2410880327225
aff_CholesterolContent,5272.078288197517
aff_CarbohydrateContent,4844.176017522812
aff_FatContent,4382.04236125946
aff_SaturatedFatContent,3963.437671303749
aff_Calories,3519.157294034958
InstructionCount,0.0
IngredientCount,0.0
HasImage,0.0
KeywordCount,0.0
aff_IngredientCount,0.0
aff_KeywordCount,0.0
aff_HasImage,0.0
aff_InstructionCount,0.0
